policyID,statecode,county,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2012,hu_site_deductible,point_latitude,line,construction,point_granularity
477786,FL,NASSAU COUNTY,2115760.5,0,0,3057739.39,0,30.5579,Commercial,Reinforced Masonry,4
265907,FL,NASSAU COUNTY,93548.58,0,0,118401.07,0,30.56106,Residential,Wood,3
107560,FL,NASSAU COUNTY,1037311.14,0,0,1487255.23,0,30.56106,Residential,Masonry,3
908183,FL,NASSAU COUNTY,15463.3,0,0,11825.56,0,30.57185,Residential,Wood,3
356024,FL,NASSAU COUNTY,13893.35,0,0,13988.5,0,30.562835,Residential,Wood,3
575299,FL,NASSAU COUNTY,316618.23,0,0,230328.99,0,30.567566,Residential,Wood,1
790478,FL,NASSAU COUNTY,54834.66,0,0,63053.72,0,30.60895,Residential,Wood,3
801776,FL,NASSAU COUNTY,295269.11,0,0,488965.65,0,30.59925,Residential,Wood,1
291781,FL,NASSAU COUNTY,723734.17,0,0,955908.09,0,30.53674,Residential,Masonry,3
537286,FL,NASSAU COUNTY,1741572,0,1741572,1455184.42,0,30.555161,Residential,Masonry,1
289305,FL,COLUMBIA COUNTY,135450,135450,135450,164978.1,0,30.105968,Residential,Wood,4
697409,FL,COLUMBIA COUNTY,60300,60300,60300,77678.46,0,30.1018,Residential,Wood,1
633944,FL,COLUMBIA COUNTY,22500,22500,22500,19501.76,0,30.1018,Residential,Wood,4
963511,FL,COLUMBIA COUNTY,34212.42,0,0,33250.37,0,30.1018,Residential,Wood,4
729649,FL,COLUMBIA COUNTY,460128.2,0,0,626142.46,0,30.1653,Residential,Masonry,1
862584,FL,COLUMBIA COUNTY,32169.69,0,0,37291.11,0,30.1018,Residential,Wood,4
371891,FL,COLUMBIA COUNTY,50550.75,0,0,49526.38,0,30.17399,Residential,Wood,4
785595,FL,COLUMBIA COUNTY,42300,42300,42300,53762.62,0,30.1515,Residential,Wood,3
567696,FL,COLUMBIA COUNTY,10171.26,0,0,16798.29,0,30.16269,Residential,Wood,4
219025,FL,COLUMBIA COUNTY,155342.88,0,0,176189.89,0,30.16269,Residential,Wood,4
447216,FL,COLUMBIA COUNTY,3698.64,0,0,4424.48,0,30.16269,Residential,Wood,4
305141,FL,COLUMBIA COUNTY,4623.3,0,4623.3,4525.86,0,30.16269,Residential,Wood,4
625575,FL,COLUMBIA COUNTY,33287.76,0,0,27375.62,0,30.16269,Residential,Wood,4
262109,FL,COLUMBIA COUNTY,21267.18,0,0,24840.49,0,30.163641,Residential,Wood,1
228457,FL,COLUMBIA COUNTY,729556.74,0,0,889825.76,0,30.163641,Residential,Masonry,1
622799,FL,COLUMBIA COUNTY,350446.14,0,0,438049.26,0,30.163641,Residential,Wood,1
233271,FL,COLUMBIA COUNTY,2135964.6,0,2135964.6,1728721.59,0,30.163641,Commercial,Reinforced Masonry,1
932950,FL,COLUMBIA COUNTY,4623.3,0,4623.3,4782.1,0,30.163641,Residential,Wood,1
641952,FL,COLUMBIA COUNTY,2469639.6,0,2469639.6,2708463.63,0,30.1515,Commercial,Reinforced Masonry,4
796260,FL,COLUMBIA COUNTY,914073.3,0,914073.3,1296439.3,0,30.1515,Residential,Masonry,4
301822,FL,COLUMBIA COUNTY,3042940.5,0,3042940.5,3181868.99,0,30.1515,Commercial,Reinforced Masonry,4
559927,FL,COLUMBIA COUNTY,234997.65,0,0,255975.89,0,30.1515,Residential,Wood,4
224400,FL,COLUMBIA COUNTY,912600,0,912600,1147247.71,0,30.1515,Residential,Masonry,4
123936,FL,COLUMBIA COUNTY,1920744.9,0,1920744.9,2837762.3,0,30.1515,Commercial,Reinforced Masonry,4
333818,FL,COLUMBIA COUNTY,455754.6,0,455754.6,696809.59,0,30.1515,Residential,Masonry,4
254323,FL,COLUMBIA COUNTY,1552693.95,0,0,1552594.58,0,30.1515,Residential,Masonry,4
247444,FL,COLUMBIA COUNTY,8910,0,8910,13521.83,0,30.1515,Residential,Wood,4
882598,FL,COLUMBIA COUNTY,398968.2,0,398968.2,424087.24,0,30.1515,Residential,Masonry,4
386918,FL,COLUMBIA COUNTY,4500,0,4500,4238.41,0,30.1515,Residential,Wood,4
497337,FL,COLUMBIA COUNTY,31071.6,0,31071.6,57802.5,0,30.1515,Residential,Wood,4
526844,FL,COLUMBIA COUNTY,4956125.85,0,0,7279557.65,0,30.1515,Commercial,Reinforced Masonry,4
623400,FL,COLUMBIA COUNTY,40500,0,40500,34160.94,0,30.1515,Residential,Wood,4
826170,FL,COLUMBIA COUNTY,135868.99,0,0,234280.26,0,30.185885,Residential,Wood,1
185483,FL,COLUMBIA COUNTY,36784.23,0,0,58447.64,0,30.185885,Residential,Wood,1
920003,FL,COLUMBIA COUNTY,1086940.9,0,0,1770235.43,0,30.185885,Residential,Masonry,1
274246,FL,COLUMBIA COUNTY,16767.17,0,0,17228.6,0,30.16649,Residential,Wood,1
423636,FL,COLUMBIA COUNTY,1404900,0,1404900,1840643.78,42147,30.176,Residential,Masonry,1
970906,FL,COLUMBIA COUNTY,4696520.5,0,0,6342697.9,0,30.00777,Commercial,Reinforced Masonry,3
227898,FL,COLUMBIA COUNTY,67892.48,0,0,86628.09,0,30.17509,Residential,Wood,1
525138,FL,COLUMBIA COUNTY,86056.32,0,0,125938.17,0,30.17501,Residential,Wood,1
923627,FL,COLUMBIA COUNTY,67892.48,0,0,64169.8,0,30.174776,Residential,Wood,1
619743,FL,COLUMBIA COUNTY,67892.48,0,0,80898.23,0,30.17476,Residential,Wood,1
910727,FL,COLUMBIA COUNTY,86056.32,0,0,91244.65,0,30.1745,Residential,Wood,1
363647,FL,COLUMBIA COUNTY,67892.48,0,0,92333.77,0,30.17447,Residential,Wood,1
512519,FL,COLUMBIA COUNTY,101009.36,0,0,98181.1,0,30.17417,Residential,Wood,1
904304,FL,COLUMBIA COUNTY,67892.48,0,0,66272.56,0,30.17451,Residential,Wood,1
835349,FL,COLUMBIA COUNTY,67892.48,0,0,99945.87,0,30.17475,Residential,Wood,1
891725,FL,COLUMBIA COUNTY,86056.32,0,0,139415.11,0,30.17514,Residential,Wood,1
923503,FL,COLUMBIA COUNTY,86056.32,0,0,106664.4,0,30.17474,Residential,Wood,1
292347,FL,COLUMBIA COUNTY,132603.34,0,0,115117.07,0,30.17664,Residential,Wood,3
363828,FL,COLUMBIA COUNTY,132603.34,0,0,216561.94,0,30.17638,Residential,Wood,3
110490,FL,COLUMBIA COUNTY,91764.15,0,0,70364.02,0,30.17623,Residential,Wood,3
480733,FL,COLUMBIA COUNTY,457854.5,0,0,345588.57,0,30.17698,Residential,Masonry,4
993346,FL,COLUMBIA COUNTY,385480.82,0,0,558330.42,0,30.174486,Residential,Masonry,4
934992,FL,ST  JOHNS COUNTY,213596.46,0,0,190329.82,0,29.7917,Residential,Wood,4
645841,FL,ST  JOHNS COUNTY,1051338.42,0,0,1069841.98,0,29.7917,Residential,Masonry,4
747846,FL,ST  JOHNS COUNTY,6472.62,0,0,9957.87,0,29.7917,Residential,Wood,4
482457,FL,ST  JOHNS COUNTY,159041.52,0,0,249984.64,0,29.776566,Residential,Wood,1
574787,FL,ST  JOHNS COUNTY,12945.24,0,0,19024.97,0,29.776566,Residential,Wood,1
831418,FL,ST  JOHNS COUNTY,29589.12,0,0,35207.53,0,29.776566,Residential,Wood,1
968562,FL,ST  JOHNS COUNTY,12945.24,0,0,16859.05,0,29.776566,Residential,Wood,1
576324,FL,ST  JOHNS COUNTY,29061,29061,29061,40749.33,0,29.7255,Residential,Wood,1
290435,FL,ST  JOHNS COUNTY,48087,48087,48087,68008.1,0,29.7255,Residential,Wood,1
526086,FL,ST  JOHNS COUNTY,128628,128628,128628,133425.18,0,29.7255,Residential,Wood,1
119823,FL,ST  JOHNS COUNTY,128628,128628,128628,168246.71,0,29.7255,Residential,Wood,1
497414,FL,ST  JOHNS COUNTY,128628,128628,128628,176279.14,0,29.7255,Residential,Wood,1
340883,FL,ST  JOHNS COUNTY,4968,4968,4968,5265.92,0,29.7255,Residential,Wood,1
892551,FL,ST  JOHNS COUNTY,157005,157005,157005,131774.3,3140.1,29.7255,Residential,Wood,1
670595,FL,ST  JOHNS COUNTY,459,459,459,847.36,0,29.7255,Residential,Wood,1
194101,FL,ST  JOHNS COUNTY,459,459,459,428.69,0,29.7255,Residential,Wood,1
167200,FL,ST  JOHNS COUNTY,1062,1062,1062,1602.72,0,29.7255,Residential,Wood,1
139064,FL,ST  JOHNS COUNTY,2304,2304,2304,2474.16,0,29.7255,Residential,Wood,1
846636,FL,ST  JOHNS COUNTY,1476,1476,1476,1935.04,0,29.7255,Residential,Wood,1
310177,FL,NASSAU COUNTY,185040,185040,185040,313975.87,0,30.57332,Residential,Wood,1
865452,FL,NASSAU COUNTY,11095.92,0,0,11961.62,0,30.67464,Residential,Wood,3
783429,FL,NASSAU COUNTY,8321.94,0,0,9646.79,0,30.67464,Residential,Wood,3
878060,FL,NASSAU COUNTY,199726.56,0,0,277743.75,0,30.67423,Residential,Wood,1
935342,FL,NASSAU COUNTY,118356.48,0,0,182860.76,0,30.67423,Residential,Wood,1
456376,FL,NASSAU COUNTY,17568.54,0,0,29936.79,0,30.67423,Residential,Wood,1
363001,FL,NASSAU COUNTY,147945.6,0,147945.6,238338.59,0,30.67453,Residential,Wood,1
478864,FL,NASSAU COUNTY,724933.44,0,0,767347.85,0,30.67513,Residential,Masonry,1
600402,FL,NASSAU COUNTY,8284485.6,0,0,8073943.68,0,30.64687,Commercial,Reinforced Masonry,1
483983,FL,NASSAU COUNTY,438498,0,0,636264.11,0,30.650143,Residential,Masonry,1
991615,FL,NASSAU COUNTY,99960.9,0,0,88679.21,0,30.6202,Residential,Wood,4
644573,FL,NASSAU COUNTY,669692.78,0,0,841130.78,0,30.576765,Residential,Masonry,1
853278,FL,NASSAU COUNTY,240539.39,0,0,412765.59,0,30.576765,Residential,Wood,1
100658,FL,NASSAU COUNTY,331518.28,0,0,464703.76,0,30.6202,Residential,Wood,4
433115,FL,NASSAU COUNTY,5919.86,0,0,9839.94,0,30.576765,Residential,Wood,1
760337,FL,NASSAU COUNTY,77426.73,0,0,73196.13,0,30.61988,Residential,Wood,1
884738,FL,NASSAU COUNTY,765763.8,0,0,735948.78,0,30.576765,Residential,Masonry,1
610102,FL,NASSAU COUNTY,7532014.45,0,0,10710000,0,30.671095,Commercial,Reinforced Masonry,1
830823,FL,NASSAU COUNTY,963962.79,0,0,977226.92,0,30.67,Residential,Masonry,3
618364,FL,NASSAU COUNTY,121066.57,0,0,115414.7,0,30.596535,Residential,Wood,1
712563,FL,NASSAU COUNTY,70964.84,0,0,72362.85,0,30.596535,Residential,Wood,1
493030,FL,NASSAU COUNTY,755749,0,0,658571.77,0,30.57326,Residential,Masonry,1
188150,FL,NASSAU COUNTY,2162232,0,2162232,2520816.55,0,30.65372,Commercial,Reinforced Masonry,1
589642,FL,NASSAU COUNTY,615141.68,0,0,895926.17,0,30.63945,Residential,Masonry,1
846109,FL,NASSAU COUNTY,135000,0,135000,138827.52,4050,30.570326,Residential,Wood,3
399079,FL,NASSAU COUNTY,161748,0,161748,235301.93,0,30.5708,Residential,Wood,1
680135,FL,NASSAU COUNTY,164484,0,164484,194814.85,0,30.5708,Residential,Wood,1
621379,FL,NASSAU COUNTY,170532,0,170532,178465.15,0,30.571087,Residential,Wood,1
606710,FL,NASSAU COUNTY,181980,0,181980,181216.05,5459.4,30.570854,Residential,Wood,1
443319,FL,NASSAU COUNTY,181980,0,181980,151151.13,5459.4,30.571154,Residential,Wood,1
228591,FL,NASSAU COUNTY,186012,0,186012,176389.97,0,30.5708,Residential,Wood,1
721610,FL,NASSAU COUNTY,192348,0,192348,210005.55,0,30.571323,Residential,Wood,1
507395,FL,NASSAU COUNTY,197604,0,197604,203450.71,0,30.570711,Residential,Wood,1
213399,FL,NASSAU COUNTY,198468,0,198468,202538.58,0,30.571777,Residential,Wood,1
579400,FL,NASSAU COUNTY,198612,0,198612,226675.88,0,30.5716,Residential,Wood,1
509951,FL,NASSAU COUNTY,200052,0,200052,335395.98,0,30.57098,Residential,Wood,1
930798,FL,NASSAU COUNTY,201276,0,201276,216909.11,0,30.571613,Residential,Wood,1
729247,FL,NASSAU COUNTY,207324,0,207324,252344.61,0,30.5708,Residential,Wood,1
288344,FL,NASSAU COUNTY,208836,0,208836,310058.81,0,30.5708,Residential,Wood,1
275351,FL,NASSAU COUNTY,212436,0,212436,225030.91,0,30.57164,Residential,Wood,1
976690,FL,NASSAU COUNTY,218052,0,218052,332681.94,0,30.571306,Residential,Wood,1
507111,FL,NASSAU COUNTY,218412,0,218412,222125,0,30.571608,Residential,Wood,1
547458,FL,NASSAU COUNTY,221076,0,221076,277280.37,0,30.571609,Residential,Wood,1
827732,FL,NASSAU COUNTY,226764,0,226764,303833.37,0,30.571665,Residential,Wood,1
229489,FL,NASSAU COUNTY,237132,0,237132,282225.02,0,30.571615,Residential,Wood,1
175251,FL,NASSAU COUNTY,239652,0,239652,178583.88,0,30.571812,Residential,Wood,1
590043,FL,NASSAU COUNTY,245052,0,245052,241166.46,0,30.571596,Residential,Wood,1
476037,FL,NASSAU COUNTY,245052,0,245052,306551.23,0,30.5708,Residential,Wood,1
674960,FL,NASSAU COUNTY,257868,0,257868,338372.33,0,30.57086,Residential,Wood,1
743790,FL,NASSAU COUNTY,6381518.4,0,6381518.4,8757880.98,0,30.570326,Commercial,Reinforced Masonry,3
817283,FL,NASSAU COUNTY,15390000,0,15390000,11790000,461349,30.570221,Commercial,Reinforced Concrete,1
201980,FL,NASSAU COUNTY,235696.5,235696.5,235696.5,353171.41,0,30.64448,Residential,Wood,1
351505,FL,NASSAU COUNTY,18000,18000,18000,16830,540,30.653568,Residential,Wood,1
798806,FL,NASSAU COUNTY,1772074.8,1772074.8,1772074.8,1768133.71,0,30.65118,Residential,Masonry,1
153643,FL,NASSAU COUNTY,95922,95922,95922,150073.42,0,30.65118,Residential,Wood,1
683653,FL,NASSAU COUNTY,20763,20763,20763,20966.31,0,30.65118,Residential,Wood,1
475264,FL,NASSAU COUNTY,16560000,0,0,20610000,497691,30.639568,Commercial,Reinforced Concrete,1
912944,FL,NASSAU COUNTY,582759.1,0,0,1020490.44,0,30.59491,Residential,Masonry,4
945134,FL,NASSAU COUNTY,2244.53,0,0,2937.46,0,30.59491,Residential,Wood,4
219959,FL,NASSAU COUNTY,196396.18,0,0,190425.74,0,30.59491,Residential,Wood,4
793504,FL,NASSAU COUNTY,21500.33,0,0,19687.96,0,30.6119,Residential,Wood,3
450423,FL,NASSAU COUNTY,74091.86,0,0,110035.31,0,30.596535,Residential,Wood,1
505178,FL,NASSAU COUNTY,86863.23,0,0,123807.2,0,30.596535,Residential,Wood,1
408688,FL,NASSAU COUNTY,796134.02,0,0,838972.4,0,30.66665,Residential,Masonry,1
477759,FL,NASSAU COUNTY,298522.2,0,0,227585.86,0,30.657654,Residential,Wood,1
882441,FL,NASSAU COUNTY,23118.64,0,0,23505.92,0,30.65838,Residential,Wood,1
727602,FL,NASSAU COUNTY,63407.91,0,0,78862,0,30.617165,Residential,Wood,1
313226,FL,NASSAU COUNTY,285728.39,0,0,288837.12,0,30.617874,Residential,Wood,1
337027,FL,NASSAU COUNTY,9016.27,0,0,9045.12,0,30.663744,Residential,Wood,4
649251,FL,NASSAU COUNTY,80915.23,0,0,98214.9,0,30.67024,Residential,Wood,3
142564,FL,NASSAU COUNTY,28898.3,0,0,36004.04,0,30.61945,Residential,Wood,1
197782,FL,NASSAU COUNTY,1505741.49,0,0,2197471.6,0,30.610081,Residential,Masonry,1
709787,FL,NASSAU COUNTY,53078.59,0,0,62305.99,0,30.610081,Residential,Wood,1
655065,FL,NASSAU COUNTY,162952.72,0,0,185883.43,0,30.67044,Residential,Wood,3
176778,FL,NASSAU COUNTY,2261249.55,0,0,1825782.64,0,30.671413,Commercial,Reinforced Masonry,1
559179,FL,NASSAU COUNTY,1363101.75,0,0,1619364.87,0,30.65501,Residential,Masonry,1
698071,FL,NASSAU COUNTY,295716.54,0,0,247758.41,0,30.665545,Residential,Wood,3
642950,FL,NASSAU COUNTY,392231.24,0,0,344336.66,0,30.63862,Residential,Masonry,4
477240,FL,NASSAU COUNTY,192917.17,0,0,238214.12,0,30.66665,Residential,Wood,1
672348,FL,NASSAU COUNTY,168339.59,0,0,269983.03,0,30.63833,Residential,Wood,1
922844,FL,NASSAU COUNTY,316029.52,0,0,337216.14,0,30.617874,Residential,Wood,1
948580,FL,NASSAU COUNTY,151505.63,0,0,185310.32,0,30.67069,Residential,Wood,3
364552,FL,NASSAU COUNTY,280565.98,0,0,329505.66,0,30.65838,Residential,Wood,1
561601,FL,NASSAU COUNTY,460128.2,0,0,792672.06,0,30.671312,Residential,Masonry,1
584749,FL,NASSAU COUNTY,324000,0,324000,506745.07,9720,30.626793,Residential,Wood,1
601327,FL,COLUMBIA COUNTY,212850,212850,212850,340143.88,0,29.925,Residential,Wood,1
302578,FL,COLUMBIA COUNTY,135000,135000,135000,150719.13,0,29.9248,Residential,Wood,1
756585,FL,COLUMBIA COUNTY,94284,94284,94284,100714.17,0,29.90334,Residential,Wood,1
627591,FL,COLUMBIA COUNTY,6300,6300,6300,9566.42,0,29.919149,Residential,Wood,1
663563,FL,COLUMBIA COUNTY,1248407.1,0,0,1417531.31,0,29.9301,Residential,Masonry,3
108959,FL,COLUMBIA COUNTY,114170.34,0,0,136068.22,0,30.041415,Residential,Wood,3
951069,FL,COLUMBIA COUNTY,498344.66,0,0,434656.21,0,29.92143,Residential,Masonry,1
490641,FL,BAKER COUNTY,910.22,0,0,1346.55,0,30.265605,Residential,Wood,3
443968,FL,BAKER COUNTY,3195.34,0,0,4551.39,0,30.27125,Residential,Wood,3
433688,FL,CLAY COUNTY,172157.99,0,0,171582.99,0,29.980408,Residential,Wood,1
168578,FL,CLAY COUNTY,945000,945000,945000,750524.67,0,30.0517,Residential,Masonry,1
294375,FL,CLAY COUNTY,76500,76500,76500,121368.78,0,30.0517,Residential,Wood,1
902110,FL,CLAY COUNTY,76500,76500,76500,94517.28,0,30.0517,Residential,Wood,1
279816,FL,CLAY COUNTY,431726.4,0,0,640896.11,0,29.98839,Residential,Masonry,1
994565,FL,CLAY COUNTY,11767.98,0,0,14137.95,0,29.9826,Residential,Wood,4
930535,FL,CLAY COUNTY,15981.99,0,0,25400.89,0,29.9826,Residential,Wood,4
844642,FL,CLAY COUNTY,35302.09,0,0,47059.67,0,29.9826,Residential,Wood,4
292887,FL,CLAY COUNTY,26396.15,0,0,28938.78,0,29.9826,Residential,Wood,4
655128,FL,CLAY COUNTY,7536.5,0,0,10216,0,29.9826,Residential,Wood,4
164038,FL,CLAY COUNTY,13198.07,0,0,16695.56,0,29.9826,Residential,Wood,4
163057,FL,CLAY COUNTY,29410.75,0,0,25890.52,0,29.9826,Residential,Wood,4
327730,FL,CLAY COUNTY,13198.07,0,0,11239.53,0,29.9826,Residential,Wood,4
218187,FL,CLAY COUNTY,25780.36,0,0,35155,0,29.9826,Residential,Wood,4
697530,FL,CLAY COUNTY,9806.65,0,0,16990.72,0,29.9826,Residential,Wood,4
619053,FL,CLAY COUNTY,15992.1,0,0,23431.62,0,29.9826,Residential,Wood,4
431406,FL,CLAY COUNTY,9806.65,0,0,7026.15,0,29.9826,Residential,Wood,3
256801,FL,CLAY COUNTY,13198.07,0,0,22117.33,0,29.9826,Residential,Wood,4
571398,FL,CLAY COUNTY,304842.43,0,0,250185.41,0,29.9826,Residential,Wood,3
239669,FL,CLAY COUNTY,13198.07,0,0,13200.19,0,29.9826,Residential,Wood,3
530369,FL,CLAY COUNTY,48252.01,0,0,36139.79,0,29.9826,Residential,Wood,4
948187,FL,CLAY COUNTY,9806.65,0,0,13926.22,0,29.9826,Residential,Wood,3
571059,FL,CLAY COUNTY,9190.86,0,0,14678.43,0,29.9826,Residential,Wood,4
470539,FL,CLAY COUNTY,68931.45,0,0,85159.98,0,29.993125,Residential,Wood,3
791046,FL,CLAY COUNTY,68931.45,0,0,99578.92,0,29.993125,Residential,Wood,3
563971,FL,CLAY COUNTY,27572.58,0,0,30033.98,0,29.993125,Residential,Wood,3
823903,FL,CLAY COUNTY,13786.29,0,0,22316.42,0,29.993125,Residential,Wood,3
812504,FL,CLAY COUNTY,9190.86,0,0,10540.08,0,29.9826,Residential,Wood,4
597719,FL,CLAY COUNTY,102937.63,0,0,94857.02,0,29.995916,Residential,Wood,1
716513,FL,CLAY COUNTY,19605.94,0,0,18479.62,0,30.004622,Residential,Wood,3
378286,FL,CLAY COUNTY,13198.07,0,0,16161.17,0,29.9826,Residential,Wood,4
698982,FL,CLAY COUNTY,9806.65,0,0,12391.68,0,29.9826,Residential,Wood,4
624550,FL,CLAY COUNTY,9806.65,0,0,13533.17,0,29.9826,Residential,Wood,4
666076,FL,CLAY COUNTY,11764.3,0,0,11058.82,0,29.9826,Residential,Wood,4
474145,FL,CLAY COUNTY,7619.22,0,0,6304.92,0,29.9826,Residential,Wood,4
572929,FL,CLAY COUNTY,13198.07,0,0,18039.84,0,29.9826,Residential,Wood,4
640205,FL,CLAY COUNTY,6433.6,0,0,8588.09,0,29.9826,Residential,Wood,3
